           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              2      240315904       80014622          11766           5094           6297              0            375      14.432862      25.424488           -nan     346.578674       3.003400          56250       3.002697       0.000703       0.001624       80003278            422          11344             20             35           1387           1050          14711            118            122
              1              2        1015165          68388          23711          11478           9836              0           2397      13.485799      24.470110           -nan     352.609924      14.844198         359550       9.586697       5.257501      12.358981          47303           2626          21085            245            382           1661           1457          17718            147            125
              2              2      240282117       80017208           9327           4631           4288              0            408      13.911467      25.131063           -nan     361.490204       3.002881          61200       3.002116       0.000765       0.001843       80008480            599           8728             20             33            679            544           9379             21             62
              3              2      240325296       80015929           9472           4010           4862              0            600      14.196259      24.943027           -nan     362.875000       3.003468          90000       3.002343       0.001125       0.002721       80007053            596           8876             21             34            516            423           8225             20              4
              4              2      240285640       80016060          10152           4759           4985              0            408      13.325909      24.892879           -nan     347.075989       3.002967          61200       3.002203       0.000765       0.001770       80006511            603           9549             20             33           1577           1180          13805            144            122
              5              2        1047558          68938          24038          12137           9299              0           2602      13.721266      24.196472           -nan     350.353577      15.195654         390300       9.534045       5.661609      13.223766          47703           2803          21235            244            398           1829           1566          16979            120            156
              6              2      240279849       80016227           9621           4616           4603              0            402      13.578856      25.006300           -nan     354.594513       3.002889          60300       3.002136       0.000754       0.001781       80007193            587           9034             22             32            640            504           9535             22             31
              7              2      240318165       80015081           9770           4144           5033              0            593      13.826255      24.741705           -nan     353.053955       3.003411          88950       3.002299       0.001112       0.002617       80005901            590           9180             17             32            537            452           8679             17             32
              8              2      240312893       80015548           9404           4568           4249              0            587      13.925788      24.919510           -nan     362.887573       3.003327          88050       3.002227       0.001100       0.002662       80006741            597           8807             19             33            654            520           8909             18             32
              9              2      240281583       80015527           9717           4831           4457              0            429      14.055682      24.414629           -nan     353.808868       3.002937          64350       3.002133       0.000804       0.001897       80006412            602           9115             19             34            545            458           9013             20             34
             10              2         562304          57288          22191          11357          10643              0            191      13.327991      24.588085           -nan     380.136139       9.815389          28650       9.315284       0.500105       1.267386          37552           2455          19736            239            370           2051            802          19018            161            150
             11              2         909471          56402          22180          11328           8749              0           2103      13.580332      24.427135           -nan     358.870178      16.124800         315450      10.531914       5.592887      13.380802          36666           2444          19736            248            370           2848           1199          20454            132            122
             12              2         556870          57366          22211          12030           9987              0            194      13.374064      24.690798           -nan     376.432983       9.707318          29100       9.200048       0.507269       1.273019          37607           2452          19759            245            369           2169            776          21597            133            120
             13              2         948698          57063          22239           9308          10827              0           2104      13.484637      24.715433           -nan     364.409210      16.625448         315600      11.094720       5.530729      13.436325          37303           2479          19760            243            399           2762           1229          17922            160            150
             14              2         595765          56508          22248           9833          12109              0            306      13.539713      24.364275           -nan     361.836609      10.543020          45900       9.730746       0.812274       1.959404          36748           2488          19760            236            370           2152            834          17846            128            120
             15              2         897015          56931          22186          10955           9203              0           2028      13.702236      24.219929           -nan     356.990143      15.756179         304200      10.412868       5.343310      12.716727          37194           2449          19737            215            367           2785           1236          21651            136            152
