           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              4      719112480       57939214       22699665        4806931       17742147              0         150587      13.929087      28.732304           -nan     393.479645      12.411498       22588050      12.021641       0.389858       1.022674       37602624        2363075       20336590           5224         211496        1980907         346429       15805427            388            679
              1              4      768170398       53060586       20975112        2015461       18215074              0         744577      14.267047      26.705671           -nan     360.473206      14.477232      111686550      12.372345       2.104887       5.058370       34379642        2294168       18680944           4182         122280        2270464         461159       15524448            366           1131
              2              4      610160474       53758388       21125382        5567954       15412396              0         145032      13.954508      25.765604           -nan     408.244324      11.350051       21754800      10.945374       0.404677       1.101381       35071634        2438628       18686754           4416         151675        2149749         373686       17945471            349            506
              3              4      787149430       53065225       21117796        3823156       16550022              0         744618      13.728779      28.624453           -nan     371.703674      14.833621      111692700      12.728802       2.104819       5.215794       34384815        2437386       18680410           4185         122227        2122568         402679       19486875            285            911
              4              4      603091469       52983282       20944068        5107943       15691588              0         144537      13.549012      25.559790           -nan     403.862610      11.382675       21680550      10.973479       0.409196       1.101727       34305414        2266200       18677868           4019         121948        2152818         489251       17759724            339            488
              5              4      758514448       53155420       20946866        2365483       17832874              0         748509      15.355734      26.478167           -nan     354.918365      14.269748      112276350      12.157520       2.112228       4.997789       34474620        2266066       18680800           4250         122394        2785320         489960       27286603            318            543
              6              4      584756202       52991526       21086386        8442582       12499003              0         144801      13.453994      27.192585           -nan     395.676208      11.034901       21720150      10.625020       0.409880       1.081198       34314003        2408863       18677523           3924         122179        2409876         459685       21665076            255            379
              7              4      811046577       52964263       21116338        4559771       15636746              0         919821      13.358084      28.943289           -nan     369.623352      15.313091      137973150      12.708067       2.605023       6.419183       34286155        2438230       18678108           4267         122498        3040914         717084       15625373            249            441
              8              4      649584415       53286606       21140642        5048517       15776187              0         315938      13.322720      25.876806           -nan     395.773590      12.190387       47390700      11.301033       0.889355       2.346554       34612017        2466053       18674589           3929         121687        2180113         430597       17722553            139            147
              9              4      784256870       52715018       21168794        3536014       16888838              0         743942      13.430770      28.311361           -nan     370.421509      14.877296      111591300      12.760417       2.116879       5.227583       34040189        2493965       18674829           3912         121601        2437046         516690       19594423            111            645
             10              4      592158410       53190960       21112526        8269069       12698568              0         144889      13.283350      27.526405           -nan     402.167236      11.132689       21733350      10.724098       0.408591       1.095479       34515223        2436789       18675737           3900         121612        2124383         458770       21400071            347            388
             11              4      686551547       52945735       21109601        8754868       11611801              0         742932      13.463761      27.269121           -nan     360.686920      12.967079      111439800      10.862287       2.104793       5.061141       34272308        2436174       18673427           3775         121240        2554031         516145       23605773            236            837
             12              4      589622024       53500941       21114219        7985729       12983908              0         144582      13.218704      27.086929           -nan     393.506561      11.020779       21687300      10.615416       0.405363       1.063420       34825477        2438755       18675464           4137         122275        2322349         402246       21348297            125            115
             13              4      774920194       52966257       21140473        4334899       16057302              0         748272      13.376188      28.640131           -nan     365.931061      14.630450      112240800      12.511351       2.119100       5.169631       34291619        2465835       18674638           3839         150441        2925100         602682       16034247            144            180
             14              4      672544665       52928840       21141555        3873177       17123760              0         144618      13.781585      28.454184           -nan     402.815430      12.706582       21692700      12.296736       0.409847       1.100617       34253497        2466212       18675343           4174         121959        2125197         430904       13487182            277            341
             15              4      722210976       53201113       21201687        8508271       11774074              0         919342      13.545006      27.303699           -nan     356.117340      13.575109      137901300      10.983035       2.592075       6.153887       34450709        2451283       18750404           5289         127325        2986847         544807       16281885            295            466
