           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0             16     1215865189       69813183       27223670        1038324       26172353              0          12993      13.000000      40.943722           -nan     381.276367      17.415983        1948950      17.388067       0.027917       0.070960       45086872        2497359       24726311          58736         306209        2814046           3380       28554914           1298           1686
              1             16     1064286582       63634651       24846710         192112       24650349              0           4249      13.000083      38.315388           -nan     370.678528      16.724953         637350      16.714937       0.010016       0.024751       41139256        2351315       22495395          24630         166356        1790438           3363       26439769           1284           1644
              2             16      981693182       64393335       24854487         569726       24280220              0           4541      13.000000      35.200089           -nan     371.167145      15.245260         681150      15.234682       0.010578       0.026175       41891651        2352803       22501684          24976         201415        2262162           3334       21963712           1240           1522
              3             16     1070499243       63590438       24812623         158452       24649803              0           4368      13.000000      38.585381           -nan     375.247711      16.834280         655200      16.823977       0.010303       0.025776       41095203        2317388       22495235          24687         166301        2222429           3386       25273568           1286           1674
              4             16     1152157197       63607423       24845630        2105999       22735403              0           4228      13.000000      44.316746           -nan     371.085846      18.113565         634200      18.103594       0.009971       0.024666       41113722        2351929       22493701          24662         166160        2256166           3507       14082743           1259           1672
              5             16      834897230       63748770       24814291        2315555       22494294              0           4442      13.000000      30.542095           -nan     368.078796      13.096680         666300      13.086228       0.010452       0.025648       41251887        2317408       22496883          24916         166659        2259995           3336       21717313           1269           1572
              6             16      892580505       63405696       24810364         333130       24472995              0           4239      13.000000      31.526356           -nan     366.897156      14.077291         635850      14.067264       0.010028       0.024529       40912492        2317160       22493204          24594         166445        1656099           3540       20750633           1248           1558
              7             16     1064940644       63650192       24812066        1492479       23315133              0           4454      13.000001      39.803913           -nan     372.394043      16.731146         668100      16.720650       0.010496       0.026059       41157247        2319121       22492945          24814         166982        2290791           3405       21353808           1229           1588
              8             16      984386739       63920853       24842183         773367       24064686              0           4130      13.000000      35.578499           -nan     370.714294      15.400088         619500      15.390396       0.009692       0.023952       41431222        2352552       22489631          24518         165828        1186670           3335       22567144           1224           1558
              9             16      901550404       63219680       24841426         399497       24437758              0           4171      13.000040      31.930893           -nan     366.430847      14.260597         625650      14.250701       0.009896       0.024176       40729982        2351728       22489698          24504         165702        1157742           3369       19142470           1220           1614
             10             16     1002092240       63819632       24843529        1251284       23588106              0           4139      13.000000      36.798203           -nan     366.809601      15.701943         620850      15.692215       0.009728       0.023789       41328167        2352064       22491465          24495         165763        1162091           3390       23612196           1294           1690
             11             16      710174699       42552224       16746247         373605       16372126              0            516      13.000043      38.344582           -nan     377.858521      16.689486          77400      16.687666       0.001819       0.004582       26980591        1174614       15571633           1533          75572        1694790           4185       23997172           1318           1800
             12             16     1207666677       64337988       24811063         581926       24225008              0           4129      13.000000      44.606213           -nan     376.443207      18.770662         619350      18.761036       0.009627       0.024159       41847428        2320503       22490560          24858         166557        2744597           3336       20631038           1242           1526
             13             16      929917024       63401017       24808773        4233712       20570795              0           4266      13.000000      36.856022           -nan     371.356781      14.667227         639900      14.657133       0.010093       0.024987       40910191        2317947       22490826          24579         200354        3270508           3345       23420810           1239           1534
             14             16     1048080137       63498791       24876814        1910828       22961808              0           4178      13.000000      39.476650           -nan     369.770691      16.505512         626700      16.495644       0.009869       0.024330       41009002        2387025       22489789          24734         166100        3771137           3385       22153744           1254           1644
             15             16     1035928796       63655165       24909992        2558803       22345123              0           6066      13.000000      39.607815           -nan     378.696014      16.274073         909900      16.259779       0.014294       0.036088       41079411        2334238       22575754          26043         172307        3875493           3375       19623680           1234           1544
